fare_id,price,currency_type,payment_method,transfers,transfer_duration,agency_id
AB,3.50,EUR,0,,3600,JOLI
BC,3.50,EUR,0,,3600,JOLI
CD,3.50,EUR,0,,3600,JOLI
DE,3.50,EUR,0,,3600,JOLI
EF,3.50,EUR,0,,3600,JOLI
FG,3.50,EUR,0,,3600,JOLI
ABC,5.50,EUR,0,,7200,JOLI
BCD,5.50,EUR,0,,7200,JOLI
CDE,5.50,EUR,0,,7200,JOLI
DEF,5.50,EUR,0,,7200,JOLI
EFG,5.50,EUR,0,,7200,JOLI
ABCD,7.50,EUR,0,,7200,JOLI
BCDE,7.50,EUR,0,,7200,JOLI
CDEF,7.50,EUR,0,,7200,JOLI
DEFG,7.50,EUR,0,,7200,JOLI
ABCDE,9.50,EUR,0,,7200,JOLI
BCDEF,9.50,EUR,0,,7200,JOLI
CDEFG,9.50,EUR,0,,7200,JOLI
ABCDEF,11.50,EUR,0,,7200,JOLI
BCDEFG,11.50,EUR,0,,7200,JOLI
ABCDEFG,15.50,EUR,0,,7200,JOLI
